date,open,high,low,close,5ma,20ma,60ma,120ma,trading
2020-11-18,"27,964","28,384","27,640","28,158","28,008.80","28,052.55","29,658.95","25,761.63","324,553"
2020-11-19,"28,158","28,676","27,866","28,481","28,092.80","28,102.70","29,697.25","25,864.38","550,496"
2020-11-20,"28,546","28,999","28,158","28,934","28,261.00","28,214.35","29,729.60","25,973.88","477,402"
2020-11-23,"28,902","28,902","28,352","28,417","28,371.20","28,382.65","29,744.72","26,063.97","624,970"
2020-11-24,"28,578","28,740","27,866","28,417","28,481.40","28,515.35","29,759.83","26,148.66","822,648"
2020-11-25,"28,773","28,805","27,510","27,769","28,403.60","28,544.45","29,767.38","26,229.03","847,040"
2020-11-26,"27,607","28,158","27,478","27,866","28,280.60","28,549.30","29,762.52","26,289.98","351,806"
2020-11-27,"27,996","29,096","27,866","29,096","28,313.00","28,628.60","29,739.32","26,359.30","1,080,709"
2020-11-30,"29,549","29,582","28,481","29,452","28,520.00","28,703.00","29,733.38","26,432.12","673,109"
2020-12-01,"29,355","29,355","28,805","29,258","28,688.20","28,707.85","29,701.02","26,498.47","407,901"
2020-12-02,"29,452","29,452","28,773","29,096","28,953.60","28,706.20","29,660.55","26,563.47","567,106"
2020-12-03,"28,999","28,999","28,514","28,708","29,122.00","28,594.55","29,589.88","26,625.23","395,742"
2020-12-04,"28,805","29,096","28,190","29,096","29,122.00","28,531.40","29,500.87","26,692.93","546,603"
2020-12-07,"29,193","30,359","28,805","30,035","29,238.60","28,534.65","29,436.13","26,787.59","1,319,196"
2020-12-08,"30,164","30,617","29,226","29,452","29,277.40","28,607.45","29,353.05","26,866.62","815,260"
2020-12-09,"29,711","29,744","29,129","29,290","29,316.20","28,670.55","29,265.12","26,940.52","517,992"
2020-12-10,"28,870","29,485","28,870","29,290","29,432.60","28,732.00","29,196.60","27,017.11","393,027"
2020-12-11,"29,647","30,617","29,549","30,617","29,736.80","28,858.20","29,150.20","27,100.44","787,566"
2020-12-14,"30,520","30,941","29,841","30,488","29,827.40","28,989.30","29,099.50","27,183.51","573,155"
2020-12-15,"30,520","31,394","30,035","30,844","30,105.80","29,138.20","29,064.43","27,269.54","811,079"
2020-12-16,"31,200","31,297","30,456","30,747","30,397.20","29,267.65","29,024.52","27,354.77","957,682"
2020-12-17,"30,941","31,653","30,617","31,038","30,746.80","29,395.50","28,979.73","27,442.42","1,023,138"
2020-12-18,"31,232","31,297","30,423","30,747","30,772.80","29,486.15","28,938.73","27,533.31","636,408"
2020-12-21,"30,488","30,844","29,970","30,359","30,747.00","29,583.25","28,933.88","27,626.90","582,130"
2020-12-22,"30,456","31,006","29,808","29,905","30,559.20","29,657.65","28,939.27","27,717.25","709,996"
2020-12-23,"31,200","31,265","30,003","30,909","30,591.60","29,814.65","28,989.98","27,815.43","896,392"
2020-12-24,"31,232","32,495","30,909","32,365","30,857.00","30,039.60","29,069.82","27,922.23","1,546,179"
2020-12-28,"32,559","32,948","31,718","32,883","31,284.20","30,228.95","29,138.87","28,029.03","948,360"
2020-12-29,"32,982","33,642","32,685","33,180","31,848.40","30,415.35","29,208.00","28,133.19","913,975"
2020-12-30,"32,949","33,444","32,784","32,784","32,424.20","30,591.65","29,270.00","28,238.09","721,873"
2021-01-04,"33,180","35,225","32,256","35,225","33,287.40","30,898.10","29,364.60","28,361.45","1,735,793"
2021-01-05,"34,631","35,357","33,839","34,829","33,780.20","31,204.15","29,445.58","28,480.43","1,145,220"
2021-01-06,"34,961","35,093","33,839","34,697","34,143.00","31,484.20","29,507.65","28,602.08","914,288"
2021-01-07,"35,621","37,072","34,895","36,610","34,829.00","31,812.95","29,603.75","28,734.82","1,482,683"
2021-01-08,"37,599","39,249","37,072","38,589","35,990.00","32,269.80","29,743.08","28,885.93","1,498,399"
2021-01-11,"39,644","43,470","38,259","41,096","37,164.20","32,860.10","29,942.53","29,056.87","3,036,535"
2021-01-12,"41,096","41,293","39,117","40,634","38,325.20","33,427.30","30,133.75","29,220.71","1,003,699"
2021-01-13,"41,096","41,425","39,644","40,172","39,420.20","33,905.05","30,305.93","29,381.24","743,274"
2021-01-14,"40,304","42,745","40,040","42,745","40,647.20","34,517.90","30,540.42","29,560.52","881,503"
2021-01-15,"43,206","43,206","41,491","42,217","41,372.80","35,086.55","30,768.27","29,734.05","877,939"
2021-01-18,"40,964","42,415","40,172","41,887","41,531.00","35,643.55","30,987.92","29,877.05","643,791"
2021-01-19,"42,085","42,547","41,491","42,547","41,913.60","36,219.00","31,239.07","30,029.33","527,638"
2021-01-20,"42,943","43,140","41,887","42,547","42,388.60","36,809.00","31,503.17","30,192.12","545,613"
2021-01-21,"43,008","43,074","41,491","41,821","42,203.80","37,382.10","31,782.67","30,351.02","660,635"
2021-01-22,"41,425","41,887","40,568","40,568","41,874.00","37,915.25","32,029.42","30,498.40","736,469"
2021-01-25,"40,634","41,359","40,106","40,898","41,676.20","38,414.70","32,257.93","30,644.48","384,889"
2021-01-26,"41,359","41,359","39,908","40,436","41,254.00","38,818.25","32,469.05","30,783.22","487,861"
2021-01-27,"40,502","41,425","39,776","40,964","40,937.40","39,222.30","32,693.28","30,928.78","583,699"
2021-01-28,"39,710","40,832","39,644","39,974","40,568.00","39,562.00","32,893.45","31,060.69","509,929"
2021-01-29,"40,502","40,766","36,478","38,523","40,159.00","39,848.95","33,049.48","31,180.78","715,618"
2021-02-01,"38,259","40,898","37,599","40,898","40,159.00","40,132.60","33,245.63","31,317.16","639,072"
2021-02-02,"41,689","41,755","40,106","40,370","40,145.80","40,409.65","33,402.78","31,439.16","589,994"
2021-02-03,"40,634","40,964","39,710","40,040","39,961.00","40,676.80","33,564.13","31,546.81","529,830"
2021-02-04,"40,568","41,953","39,710","41,359","40,238.00","40,914.25","33,753.95","31,664.38","1,214,291"
2021-02-05,"41,821","41,953","39,908","40,964","40,726.20","41,033.00","33,970.08","31,776.76","658,589"
2021-02-08,"40,964","42,217","40,436","41,887","40,924.00","41,072.55","34,201.07","31,883.62","649,793"
2021-02-09,"42,217","42,217","41,161","41,953","41,240.60","41,138.50","34,432.60","31,992.64","324,433"
2021-02-10,"41,953","42,811","41,557","42,811","41,794.80","41,270.45","34,677.90","32,122.58","405,628"
2021-02-15,"43,734","44,328","42,943","43,140","42,151.00","41,290.20","34,932.47","32,266.31","732,587"
2021-02-16,"43,404","43,866","42,745","43,074","42,573.00","41,333.05","35,185.93","32,398.98","373,396"
2021-02-17,"43,140","44,328","41,953","42,019","42,599.40","41,339.65","35,416.95","32,537.95","597,029"
2021-02-18,"41,689","41,755","40,766","41,096","42,428.00","41,267.10","35,627.20","32,662.23","418,532"
2021-02-19,"41,227","42,613","40,766","42,481","42,362.00","41,263.80","35,852.98","32,791.29","439,275"
2021-02-22,"42,877","42,943","41,557","42,811","42,296.20","41,313.30","36,092.88","32,918.80","409,039"
2021-02-23,"42,085","43,206","41,557","42,217","42,124.80","41,395.75","36,322.88","33,041.36","426,430"
2021-02-24,"42,679","42,811","39,776","40,634","41,847.80","41,382.55","36,537.30","33,152.34","507,876"
2021-02-25,"41,425","42,877","41,227","42,877","42,204.00","41,504.60","36,787.48","33,275.00","406,874"
2021-02-26,"41,491","43,206","41,491","42,415","42,190.80","41,577.15","37,009.47","33,374.39","528,478"
2021-03-02,"43,734","44,592","43,272","43,998","42,428.20","41,778.35","37,251.90","33,492.64","568,394"
2021-03-03,"43,998","45,779","43,800","45,713","43,127.40","42,137.85","37,526.15","33,613.58","620,945"
2021-03-04,"45,317","46,702","45,053","46,109","44,222.40","42,398.40","37,809.70","33,735.13","614,747"
2021-03-05,"45,713","46,636","44,658","46,043","44,855.60","42,682.05","38,098.62","33,844.25","449,239"
2021-03-08,"46,307","46,505","42,811","43,206","45,013.80","42,840.35","38,333.78","33,917.33","644,896"
2021-03-09,"42,547","43,008","39,578","40,634","44,341.00","42,804.10","38,510.43","33,973.28","1,239,456"
2021-03-10,"41,821","42,415","40,106","40,238","43,246.00","42,767.80","38,690.20","34,021.63","468,317"
2021-03-11,"40,304","41,227","40,304","41,096","42,243.40","42,728.25","38,886.97","34,076.04","399,840"
2021-03-12,"41,821","42,085","41,161","41,227","41,280.20","42,691.95","39,085.92","34,141.26","341,876"
2021-03-15,"41,425","41,557","40,304","40,568","40,752.60","42,579.80","39,251.77","34,200.98","314,573"
2021-03-16,"40,238","40,502","39,512","39,974","40,620.60","42,421.50","39,409.87","34,254.68","505,391"
2021-03-17,"39,776","39,776","37,797","38,457","40,264.40","42,190.65","39,536.75","34,300.59","660,299"
2021-03-18,"38,919","39,710","38,655","38,853","39,815.80","42,032.35","39,671.85","34,348.18","360,006"
2021-03-19,"37,929","39,380","37,863","39,380","39,446.40","41,946.55","39,810.88","34,395.31","215,998"
2021-03-22,"39,644","39,644","37,929","38,325","38,997.80","41,738.75","39,937.18","34,437.96","348,174"
2021-03-23,"38,523","38,589","36,610","37,006","38,404.20","41,448.50","40,047.97","34,490.93","619,302"
